zoho_account_id,zoho_url,account_name,tags,matched_tags,owner_name,owner_email,owner_id,website,company_linkedin,phone,industry,employees,company_size,annual_revenue,revenue_size,annual_revenue_text,annual_revenue_numeric,parent_account_name,parent_account_id,address,city,state,zip,country,billing_street,billing_city,billing_state,billing_code,billing_country,account_code,account_status,icp_score,signal_score,tier,track,current_erp_pain,budget_sap_roadmap,timeline,trigger_event_news,lead_source,campaign_name,import_notes,description,created_by,modified_by,created_time,modified_time,last_activity_time
6834250000001511078,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000001511078,1888 Mills,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/1888-mills/about/,,Textile Manufacturing,,5001-10000,,$254.6 M,,,,,375 Airport Rd,Griffin,GA,30224,US,,Griffin,GA,30224,US,,,,,,,,,,,,,,,Ankur Das,Aryan Dhamani,2026-01-27T21:18:39+05:30,2026-07-03T00:49:59+05:30,2026-07-03T00:50:02+05:30
6834250000003314089,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314089,ABIOMED,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003159042,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159042,"Acme Constructors, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.acmeconstructors.com,,,Conveyors,,,19367228,,,,,,,,MO,,US,7212 Weil Ave,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-23T20:16:19+05:30
6834250000002788065,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788065,Acutec Precision Aerospace,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/acutec-precision-machining-inc./about/,,Aviation And Aerospace Component Manufacturing,,201-500,,$112.9 M,$112 M,112000000,,,13555 Broadway Dr,Meadville,PA,16335,US,13555 Broadway Dr,Meadville,PA,,US,ACC-024,Prospect,69,7,C,Track 2 — Niche ERP,"JobBoss, Lack of Automation is one of the main problems.",Will include in the next budget,9-12 Months,"Defense contract expansion + ERP hiring: Acutec Precision Aerospace (Meadville, PA) has secured a Safran contract expansion for precision aerospace components. Simultaneously, Acutec is actively hiring for Process Implementation roles — a direct indicator",Unbound Campaign May 2026 - Batch 3,KloudData — Unbound Campaign May 2026 | Batch 3,Created from selected lead batch. Review website/domain if required before import.,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-01T13:08:02+05:30,2026-07-03T18:12:50+05:30
6834250000003159043,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159043,Advanced Industrial Devices Company LLC,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.aidusa.com,,,Switchgear Apparatus,,,24631232,,,,,,,,OK,,US,4323 S Elwood Ave,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:24+05:30
6834250000003159044,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159044,"Advanced Integration Technology, L.P.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.aint.com,,,"Aircraft Parts and Auxiliary Equipment, NEC",,,99709784,,,,,,,,TX,,US,2805 E Plano Pkwy Ste 100,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:23+05:30
6834250000003159045,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159045,AERO ENGINEERING AND MANUFACTURING CO,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.aeroeng.com,,,"Aircraft Parts and Auxiliary Equipment, NEC",,,9791730,,,,,,,,CA,91355,US,28217 AVENUE CROCKER,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-23T20:17:24+05:30
6834250000002788120,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788120,Ag1,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/drink-ag1/about/,,Wellness And Fitness Services,,201-500,,$170.5 M,,,,,3064 Silver Sage Dr Suite 150,Carson City,NV,89701,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T16:49:49+05:30
6834250000003314102,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314102,Agiliti,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.agilitihealth.com,http://www.linkedin.com/company/agilitihealth,+1 952-893-3200,medical devices,5500,,1177451000,,,,,,,,,,,11095 Viking Dr,Eden Prairie,Minnesota,55344-0025,United States,,,,,,,,,,,,,,"Agiliti Health, Inc. is a prominent medical equipment company dedicated to supporting healthcare organizations, especially hospitals and health systems. The company focuses on optimizing patient outcomes, reducing costs, and ensuring clinician readiness through effective equipment management. With a team of around 3,000 experts, Agiliti operates a nationwide network that serves over 7,000 to 10,000 acute care facilities across the U.S.

Agiliti's services include Clinical Engineering, onsite equipment management, and rental services, all designed to enhance operational efficiency and patient care. Their Equipment Value Management framework connects various departments, addressing challenges such as compliance and cost control. The company also offers innovative medical and surgical technologies, including the Essentia™ hospital bed and Adapt Line™ therapeutic support surfaces, which prioritize patient safety and comfort. Agiliti's commitment to bridging departmental gaps helps healthcare providers improve staff productivity and patient satisfaction.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003159046,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159046,Air Drilling Associates,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.airdrilling.com,,,Const Equip Rental,,,23934081,,,,,,,,TX,77060,US,18155 Chisholm Trl,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-24T22:03:39+05:30
